id,owner,material,role,quantity,volume_mm3,STEP,note
l_yaw_bush_top,chest,pom,structural_concept,1,154.55379218600356,../../revM/quinn/parts/l_yaw_bush_top.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_yaw_bush_lower,chest,pom,structural_concept,1,123.64303374880281,../../revM/quinn/parts/l_yaw_bush_lower.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_elev_bush_27,clavicle_l.protract_frame,pom,structural_concept,1,92.73227531160214,../../revM/quinn/parts/l_elev_bush_27.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_elev_bush_43,clavicle_l.protract_frame,pom,structural_concept,1,92.73227531160214,../../revM/quinn/parts/l_elev_bush_43.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_yaw_carriage,clavicle_l.protract_frame,aluminum_7075,structural_concept,1,5420.45027489145,../../revM/quinn/parts/l_yaw_carriage.step,"Machined yaw carriage, keyed D4 end and two original elevation bearings; bolt-on G4 reaction plate support; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
l_flex_bush_-36.5,clavicle_l,pom,structural_concept,1,108.06450409818184,../../revM/quinn/parts/l_flex_bush_-36.5.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_flex_bush_-27.5,clavicle_l,pom,structural_concept,1,108.06450409818181,../../revM/quinn/parts/l_flex_bush_-27.5.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_clavicle_output_frame,clavicle_l,aluminum_7075,structural_concept,1,6979.588780488892,../../revM/quinn/parts/l_clavicle_output_frame.step,"Machined clavicle link, D4 middle key transfers elevation torque, M2 radial retainer; original shoulder centre preserved; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
l_abduct_bush_-20.5,upperarm_l.flex_frame,pom,structural_concept,1,77.27689609300178,../../revM/quinn/parts/l_abduct_bush_-20.5.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_abduct_bush_20.5,upperarm_l.flex_frame,pom,structural_concept,1,108.06450409818177,../../revM/quinn/parts/l_abduct_bush_20.5.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_flex_ring,upperarm_l.flex_frame,aluminum_7075,structural_concept,1,3827.0374024356224,../../revM/quinn/parts/l_flex_ring.step,"Rev J removable split metal drive hub; flange fixed with two M2 screws, nut pockets and tool relief; strain/creep not verified; 7075-T6 metal candidate required for reamed interference-fit radial bush seats; no PLA press-fit claim; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
l_abduct_ring_and_twist_seat,upperarm_l.abduct_frame,aluminum_7075,structural_concept,1,3537.658598158611,parts/l_abduct_ring_and_twist_seat.step,"Machined metal shoulder abduction ring and twist reaction face; top thrust face Z5.5, radial bush does not carry preload; integral positive travel stops; D6.04 nominal sleeve seat and captured D7.4 lower flange; outer friction contact radius increased to 10 mm; Rev N1 local travel-tab relief outside R10.15, protected bearing/friction region R<=9.5 unchanged; original end-stop angular faces retained, strength not rated"
l_twist_bush,upperarm_l.abduct_frame,pom,structural_concept,1,223.31565271886208,../../revM/quinn/parts/l_twist_bush.step,"Flanged POM-C D6 sleeve, D4.06 running bore; D7.4 x0.8 flange trapped between lining top -9 and housing shoulder -8. Nominal axial float .2 mm."
l_twist_rotor_face,upperarm_l,aluminum_7075,structural_concept,1,620.1574205087361,../../revM/quinn/parts/l_twist_rotor_face.step,Positive D4 drive; axial spring force reacts into the fixed metal shoulder seat; integral travel tab reacts directly into bearing frame; outer friction contact radius increased to 10 mm
l_twist_lining,upperarm_l.abduct_frame,peek,structural_concept,1,282.98681225373474,../../revM/quinn/parts/l_twist_lining.step,"; unfilled PEEK ring R3.15..10, dry contact candidate"
l_arm_upperarm_shell_front,upperarm_l,shell,solid_concept,1,5717.762001164615,../../revM/quinn/parts/l_arm_upperarm_shell_front.step,"1.8 mm partial rigid arm cover; two M2x20 through captive rear nuts into closed centreline rail lugs; front straight hex access, remove before servicing joints; pose clearance sampled digitally"
l_arm_upperarm_shell_back,upperarm_l,shell,solid_concept,1,9128.424159839424,../../revM/quinn/parts/l_arm_upperarm_shell_back.step,"1.8 mm partial rigid arm cover; two M2x20 through captive rear nuts into closed centreline rail lugs; front straight hex access, remove before servicing joints; pose clearance sampled digitally"
r_yaw_bush_top,chest,pom,structural_concept,1,154.55379218600353,../../revM/quinn/parts/r_yaw_bush_top.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_yaw_bush_lower,chest,pom,structural_concept,1,123.64303374880284,../../revM/quinn/parts/r_yaw_bush_lower.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_elev_bush_27,clavicle_r.protract_frame,pom,structural_concept,1,92.73227531160214,../../revM/quinn/parts/r_elev_bush_27.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_elev_bush_43,clavicle_r.protract_frame,pom,structural_concept,1,92.73227531160214,../../revM/quinn/parts/r_elev_bush_43.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_yaw_carriage,clavicle_r.protract_frame,aluminum_7075,structural_concept,1,5420.450481330481,../../revM/quinn/parts/r_yaw_carriage.step,"Machined yaw carriage, keyed D4 end and two original elevation bearings; bolt-on G4 reaction plate support; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
r_flex_bush_-36.5,clavicle_r,pom,structural_concept,1,108.06450409818174,../../revM/quinn/parts/r_flex_bush_-36.5.step,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
